time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140812T132006	96.36	100	100	96.4	400	400
20140812T132008	96.35	1900	1900	96.4	400	400
20140812T132015	96.35	1900	1900	96.39	100	100
20140812T132151	96.35	1900	1900	96.39	200	200
20140812T132219	96.35	1100	1100	96.39	200	200
20140812T132222	96.35	300	300	96.39	100	100
20140812T132228	96.35	300	300	96.39	300	300
20140812T132255	96.32	200	200	96.39	300	300
20140812T132258	96.32	200	200	96.38	600	600
20140812T132300	96.32	200	200	96.38	800	800
20140812T132304	96.32	200	200	96.38	600	600
20140812T132358	96.32	200	200	96.35	100	100
20140812T132402	96.32	200	200	96.35	300	300
20140812T132439	96.32	300	300	96.35	300	300
20140812T132535	96.32	200	200	96.33	100	100
20140812T132556	96.32	200	200	96.35	300	300
20140812T132557	96.32	200	200	96.35	500	500
20140812T132650	96.32	200	200	96.35	200	200
20140812T132652	96.35	100	100	96.38	600	600
20140812T132724	96.32	200	200	96.38	600	600
20140812T132737	96.32	900	900	96.38	600	600
20140812T132741	96.32	600	600	96.38	600	600
20140812T132748	96.32	600	600	96.38	400	400
20140812T132751	96.32	600	600	96.37	500	500
20140812T132811	96.32	600	600	96.37	200	200
20140812T132814	96.32	600	600	96.35	500	500
20140812T132821	96.32	600	600	96.35	200	200
20140812T132823	96.32	600	600	96.38	100	100
20140812T132824	96.32	600	600	96.38	300	300
20140812T132826	96.32	100	100	96.38	200	200
20140812T132827	96.32	100	100	96.38	400	400
20140812T132850	96.34	100	100	96.38	400	400
20140812T133106	96.34	100	100	96.38	100	100
20140812T133121	96.38	400	400	96.39	100	100
20140812T133124	96.38	300	300	96.39	100	100
20140812T133139	96.34	100	100	96.38	200	200
20140812T133143	96.34	100	100	96.39	100	100
20140812T133252	96.35	100	100	96.39	100	100
20140812T133259	96.35	100	100	96.39	200	200
20140812T133605	96.34	300	300	96.35	700	700
20140812T133616	96.32	100	100	96.34	100	100
20140812T133623	96.32	100	100	96.35	700	700
20140812T133824	96.31	200	200	96.35	700	700
20140812T133945	96.34	100	100	96.35	700	700
20140812T134018	96.34	100	100	96.35	500	500
20140812T134032	96.31	200	200	96.35	400	400
20140812T134333	96.31	700	700	96.35	400	400
20140812T134349	96.31	700	700	96.32	100	100
20140812T134358	96.31	600	600	96.35	400	400
20140812T134446	96.31	600	600	96.35	300	300
20140812T134449	96.31	600	600	96.35	100	100
20140812T134459	96.31	300	300	96.35	100	100
20140812T134539	96.28	100	100	96.3	500	500
20140812T134659	96.28	100	100	96.3	6900	6900
20140812T134705	96.28	100	100	96.3	4900	4900
20140812T134711	96.28	200	200	96.3	4900	4900
20140812T134719	96.28	100	100	96.3	4900	4900
20140812T134801	96.27	200	200	96.3	4900	4900
20140812T134823	96.26	200	200	96.3	4900	4900
20140812T134847	96.25	300	300	96.3	4900	4900
20140812T134852	96.26	100	100	96.3	4900	4900
20140812T134913	96.26	100	100	96.35	100	100
20140812T134936	96.3	1000	1000	96.35	100	100
20140812T134940	96.26	100	100	96.27	3900	3900
20140812T134948	96.26	100	100	96.27	2900	2900
20140812T134955	96.26	100	100	96.27	1900	1900
20140812T134957	96.26	100	100	96.27	900	900
20140812T134958	96.28	100	100	96.35	100	100
20140812T135003	96.27	200	200	96.35	100	100
20140812T135111	96.27	100	100	96.35	100	100
20140812T135119	96.25	100	100	96.27	100	100
20140812T135121	96.23	400	400	96.25	300	300
20140812T135122	96.24	100	100	96.25	300	300
20140812T135124	96.23	400	400	96.25	300	300
20140812T135129	96.23	400	400	96.3	300	300
20140812T135132	96.23	400	400	96.29	500	500
20140812T135134	96.23	400	400	96.25	100	100
20140812T135137	96.22	600	600	96.23	100	100
20140812T135140	96.22	200	200	96.29	500	500
20140812T135142	96.22	100	100	96.29	500	500
20140812T135155	96.22	100	100	96.33	200	200
20140812T135257	96.23	100	100	96.33	200	200
20140812T135305	96.23	100	100	96.32	100	100
20140812T135310	96.23	1300	1300	96.32	100	100
20140812T135317	96.25	200	200	96.32	100	100
20140812T135341	96.22	100	100	96.33	100	100
20140812T135348	96.22	100	100	96.33	600	600
20140812T135355	96.22	100	100	96.25	500	500
20140812T135357	96.22	200	200	96.25	500	500
20140812T135359	96.16	300	300	96.33	600	600
20140812T135405	96.16	300	300	96.3	200	200
20140812T135413	96.16	300	300	96.29	200	200
20140812T135426	96.16	300	300	96.29	300	300
20140812T135442	96.16	300	300	96.18	100	100
20140812T135447	96.16	300	300	96.29	300	300
20140812T135504	96.16	400	400	96.29	300	300
20140812T135512	96.16	400	400	96.18	100	100
20140812T135516	96.16	400	400	96.29	300	300
20140812T135539	96.17	100	100	96.29	300	300
20140812T135548	96.17	300	300	96.29	300	300
20140812T135629	96.18	100	100	96.29	300	300
20140812T135630	96.18	100	100	96.29	400	400
20140812T135651	96.2	1000	1000	96.29	400	400
20140812T135658	96.2	1000	1000	96.25	100	100
20140812T135700	96.25	900	900	96.25	100	100
20140812T135705	96.2	1000	1000	96.25	300	300
20140812T135707	96.2	1000	1000	96.29	100	100
20140812T135709	96.21	100	100	96.29	100	100
20140812T135712	96.21	100	100	96.29	400	400
20140812T135714	96.21	100	100	96.29	600	600
20140812T135724	96.22	200	200	96.29	600	600
20140812T135727	96.23	300	300	96.29	600	600
20140812T135740	96.22	100	100	96.29	600	600
20140812T135750	96.2	800	800	96.22	400	400
20140812T135802	96.18	100	100	96.2	100	100
20140812T135816	96.18	100	100	96.22	400	400
20140812T135840	96.2	100	100	96.22	400	400
20140812T135853	96.2	200	200	96.22	400	400
20140812T135857	96.2	100	100	96.22	400	400
20140812T135902	96.22	1100	1100	96.26	300	300
20140812T135903	96.25	5000	5000	96.26	300	300
20140812T135914	96.28	1700	1700	96.29	600	600
20140812T135918	96.26	100	100	96.28	300	300
20140812T135919	96.26	100	100	96.27	400	400
20140812T135923	96.24	200	200	96.28	300	300
20140812T135924	96.23	200	200	96.28	300	300
20140812T135926	96.23	200	200	96.28	500	500
20140812T135927	96.23	300	300	96.28	500	500
20140812T135930	96.23	200	200	96.28	500	500
20140812T135931	96.23	500	500	96.28	500	500
20140812T135942	96.23	500	500	96.28	300	300
20140812T135945	96.23	500	500	96.28	200	200
20140812T135958	96.28	200	200	96.29	100	100
20140812T140002	96.24	400	400	96.26	1300	1300
20140812T140005	96.24	400	400	96.26	1100	1100
20140812T140006	96.24	200	200	96.26	1100	1100
20140812T140016	96.24	200	200	96.26	900	900
20140812T140022	96.24	200	200	96.31	200	200
20140812T140025	96.26	200	200	96.3	300	300
20140812T140027	96.24	200	200	96.3	400	400
20140812T140030	96.24	200	200	96.3	500	500
20140812T140031	96.24	200	200	96.29	2000	2000
20140812T140036	96.25	100	100	96.29	2000	2000
20140812T140043	96.23	400	400	96.29	2000	2000
20140812T140048	96.24	100	100	96.29	2000	2000
20140812T140053	96.23	400	400	96.29	1400	1400
20140812T140059	96.23	400	400	96.3	500	500
20140812T140101	96.24	100	100	96.3	500	500
20140812T140103	96.24	400	400	96.3	500	500
20140812T140112	96.24	400	400	96.27	1100	1100
20140812T140113	96.25	200	200	96.27	2200	2200
20140812T140115	96.25	200	200	96.27	1800	1800
20140812T140116	96.25	200	200	96.27	800	800
20140812T140118	96.25	200	200	96.27	600	600
20140812T140123	96.25	200	200	96.3	500	500
20140812T140127	96.24	300	300	96.3	500	500
20140812T140129	96.24	300	300	96.29	200	200
20140812T140131	96.28	100	100	96.29	200	200
20140812T140135	96.26	100	100	96.28	100	100
20140812T140137	96.26	100	100	96.28	500	500
20140812T140141	96.26	100	100	96.29	200	200
20140812T140145	96.26	100	100	96.29	700	700
20140812T140146	96.26	100	100	96.29	200	200
20140812T140148	96.26	100	100	96.29	500	500
20140812T140153	96.26	100	100	96.29	200	200
20140812T140202	96.26	100	100	96.29	100	100
20140812T140206	96.26	100	100	96.3	500	500
20140812T140224	96.26	700	700	96.3	500	500
20140812T140236	96.3	1300	1300	96.31	300	300
20140812T140238	96.3	1300	1300	96.31	200	200
